cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
HCM,	0.0792079,	10.9307,	1.46535,	0.871287,	1.14851,	1.0297,	0.891089,	0.49505,	0.514851,	2.29703,	0.316832,	0.732673,	3.08911,	0.118812,	0.49505,	0.217822,	0.851485,	1.60396,	0.475248,	0.237624,	0.633663,	0.237624,	2.67327,	0.732673,	1.20792,	0.178218,	0.514851,	0.633663,	0.29703,	0.178218,	0.376238,	6.11881,	0.475248,	0.336634,	0.534653,	0.435644,	0.217822,	1.06931,	1.18812,	2.05941,	0.475248,	0.39604,	0.0792079,	0.29703,	0.0792079,	0.0990099,	0.831683,	0.514851,	1.38614,	0.732673,	0.277228,	0.039604,	2.05941,	1.22772,	5.20792,	1.26733,	0.217822,	0.158416,	0.356436,	1.08911,	0.138614,	0.554455,	1.16832,	0.435644,	0.336634,	0.435644,	0.0792079,	1.10891,	3.0099,	0.336634,	0.158416,	1.60396,	0.316832,	0.0990099,	2,	0.435644,	3.22772,	0.376238,	1.82178,	0.277228,	1.20792,	0.455446,	0.039604,	0.950495,	0.415842,	0.118812,	1.70297,	0.0792079,	0.138614,	0.0990099,	0.039604,	0.257426,	0.0990099,	5.84158,	0,	0.0990099,	2.47525,	0.19802,	1.38614,	1.72277,	
HCPEpiC,	0.0799041,	12.3252,	1.37835,	0.978825,	1.21854,	1.25849,	0.639233,	0.399521,	0.519377,	2.19736,	0.379545,	0.878945,	2.8366,	0.119856,	0.479425,	0.139832,	0.639233,	1.4183,	0.419497,	0.159808,	0.938873,	0.559329,	2.79664,	0.579305,	1.39832,	0.179784,	0.439473,	0.499401,	0.239712,	0.119856,	0.359569,	6.47223,	0.539353,	0.19976,	0.239712,	0.559329,	0.339592,	0.838993,	1.67799,	1.9177,	0.699161,	0.399521,	0.0399521,	0.219736,	0,	0.0399521,	1.03875,	0.539353,	0.679185,	0.539353,	0.399521,	0.019976,	2.17739,	1.17859,	6.27247,	1.39832,	0.0399521,	0.139832,	0.379545,	1.09868,	0.179784,	0.539353,	1.11866,	0.339592,	0.379545,	0.359569,	0.0799041,	1.11866,	2.87655,	0.279664,	0.0599281,	1.27847,	0.29964,	0.0399521,	2.43708,	0.519377,	2.95645,	0.279664,	1.17859,	0.19976,	1.4982,	0.499401,	0.019976,	1.07871,	0.359569,	0.0998801,	1.9177,	0.139832,	0.0399521,	0,	0.0399521,	0.139832,	0.0998801,	6.15262,	0.0399521,	0.0399521,	2.29724,	0.179784,	0.819017,	1.35837,	
HEEpiC,	0.0391543,	11.2373,	1.44871,	1.19421,	1.27251,	1.15505,	0.763508,	0.646045,	0.587314,	1.89898,	0.27408,	0.880971,	2.38841,	0.0783085,	0.430697,	0.254503,	0.606891,	1.27251,	0.450274,	0.293657,	0.646045,	0.41112,	2.79953,	0.567737,	1.25294,	0.156617,	0.430697,	0.743931,	0.195771,	0.0783085,	0.391543,	6.10807,	0.6852,	0.430697,	0.41112,	0.587314,	0.313234,	0.900548,	1.42913,	1.95771,	0.763508,	0.332811,	0.0978857,	0.156617,	0.0391543,	0.156617,	0.920125,	0.802662,	1.23336,	0.54816,	0.27408,	0.0587314,	1.8794,	1.21378,	5.07048,	1.15505,	0.176194,	0.254503,	0.313234,	0.998434,	0.332811,	0.567737,	1.03759,	0.371966,	0.430697,	0.371966,	0.0587314,	1.23336,	3.1715,	0.41112,	0.0587314,	1.48786,	0.41112,	0.117463,	2.58418,	0.234926,	3.26938,	0.391543,	1.64448,	0.215348,	1.29209,	0.606891,	0.0391543,	0.763508,	0.234926,	0.254503,	1.93814,	0.27408,	0.156617,	0,	0.0783085,	0.27408,	0.13704,	6.48003,	0,	0.0195771,	2.52545,	0.176194,	0.920125,	1.31167,	
HFF,	0.136692,	10.2714,	1.6403,	0.995899,	1.09354,	1.07401,	0.68346,	0.566296,	0.781097,	2.94864,	0.351494,	0.937317,	2.49951,	0.214802,	0.68346,	0.273384,	0.644405,	1.91369,	0.527241,	0.331966,	1.01543,	0.527241,	1.73794,	0.60535,	1.52314,	0.390549,	0.507713,	0.351494,	0.253857,	0.214802,	0.624878,	5.33099,	0.60535,	0.449131,	0.312439,	0.68346,	0.234329,	0.83968,	1.40598,	1.67936,	0.566296,	0.585823,	0.0585823,	0.351494,	0.0781097,	0.214802,	0.898262,	0.83968,	1.36692,	0.624878,	0.214802,	0.136692,	1.777,	1.65983,	4.95997,	1.07401,	0.195274,	0.273384,	0.566296,	0.83968,	0.292912,	0.644405,	1.2107,	0.585823,	0.585823,	0.859207,	0.0781097,	1.34739,	2.71431,	0.546768,	0.0585823,	1.38645,	0.371021,	0.156219,	1.44503,	0.60535,	2.71431,	0.449131,	0.976372,	0.214802,	1.23023,	0.371021,	0.0390549,	1.23023,	0.429604,	0.214802,	2.08944,	0.117165,	0.175747,	0.0781097,	0.0390549,	0.429604,	0.234329,	5.48721,	0.0390549,	0.0585823,	2.40187,	0.195274,	1.30834,	1.44503,	
HIPEpiC,	0.077912,	11.4531,	1.5972,	1.1492,	1.24659,	1.22711,	0.740164,	0.603818,	0.506428,	1.85041,	0.331126,	0.68173,	3.17491,	0.09739,	0.798598,	0.175302,	0.798598,	1.16868,	0.603818,	0.233736,	1.07129,	0.409038,	2.80483,	0.525906,	1.48033,	0.311648,	0.564862,	0.701208,	0.311648,	0.09739,	0.564862,	5.16167,	0.759642,	0.272692,	0.409038,	0.545384,	0.214258,	1.11025,	1.69459,	2.02571,	0.798598,	0.525906,	0.09739,	0.350604,	0.058434,	0.09739,	0.857032,	0.58434,	1.09077,	0.623296,	0.331126,	0.058434,	2.04519,	1.42189,	4.79159,	1.40242,	0.136346,	0.175302,	0.428516,	0.973899,	0.155824,	0.68173,	1.28555,	0.311648,	0.564862,	0.331126,	0.136346,	1.12972,	2.4737,	0.350604,	0.116868,	1.3245,	0.331126,	0.175302,	1.96728,	0.447994,	3.60343,	0.38956,	1.30503,	0.272692,	1.3245,	0.506428,	0,	0.973899,	0.603818,	0.175302,	1.51928,	0.116868,	0.077912,	0.019478,	0.058434,	0.311648,	0.175302,	4.79159,	0,	0.077912,	2.31788,	0.253214,	1.44137,	1.49981,	
HMF,	0.0395023,	12.5025,	1.40233,	0.948055,	1.04681,	1.38258,	0.908552,	0.592534,	0.414774,	1.87636,	0.276516,	0.829548,	2.60715,	0.17776,	0.632036,	0.197511,	0.711041,	1.46158,	0.434525,	0.237014,	1.02706,	0.474027,	2.74541,	0.612285,	0.86905,	0.138258,	0.35552,	0.474027,	0.118507,	0.0197511,	0.35552,	6.63638,	0.474027,	0.296267,	0.335769,	0.533281,	0.256765,	0.987557,	1.48134,	1.6591,	1.06656,	0.533281,	0.118507,	0.197511,	0,	0.138258,	1.14557,	0.474027,	1.00731,	0.493778,	0.296267,	0.0395023,	1.6986,	1.32333,	6.00435,	1.50109,	0.197511,	0.197511,	0.217262,	1.22457,	0.158009,	0.375272,	0.849299,	0.35552,	0.276516,	0.276516,	0.0592534,	1.20482,	2.44914,	0.256765,	0.0987557,	1.6986,	0.395023,	0,	3.04167,	0.493778,	2.84416,	0.375272,	1.36283,	0.197511,	1.24432,	0.414774,	0.0592534,	1.24432,	0.335769,	0.0592534,	1.89611,	0.138258,	0.118507,	0.0197511,	0.0592534,	0.158009,	0.0592534,	5.76733,	0.0197511,	0.0592534,	2.01462,	0.217262,	1.22457,	1.71835,	
HMVEC-dBl-Ad,	0,	14.2561,	1.11894,	0.891007,	1.03605,	1.32615,	0.725238,	0.414422,	0.455864,	2.42437,	0.37298,	0.787402,	2.59014,	0.0621633,	0.538748,	0.290095,	0.663075,	1.36759,	0.290095,	0.145048,	0.849565,	0.621633,	2.61086,	0.95317,	1.13966,	0.269374,	0.414422,	0.55947,	0.207211,	0.0828844,	0.310816,	6.02984,	0.455864,	0.683796,	0.331537,	0.393701,	0.269374,	1.24327,	1.1811,	1.76129,	0.932449,	0.435143,	0.0414422,	0.145048,	0.0414422,	0.103605,	0.849565,	0.310816,	1.36759,	0.518027,	0.393701,	0.0207211,	1.71985,	0.870286,	6.07128,	1.1811,	0.0414422,	0.0828844,	0.227932,	0.849565,	0.165769,	0.331537,	1.01533,	0.145048,	0.393701,	0.207211,	0.0828844,	0.95317,	3.12889,	0.310816,	0.0414422,	1.8649,	0.248653,	0.0621633,	2.96312,	0.476585,	2.98384,	0.248653,	1.13966,	0.290095,	1.20182,	0.290095,	0.0207211,	0.932449,	0.290095,	0.145048,	1.78201,	0.145048,	0.0621633,	0.0621633,	0.0414422,	0.145048,	0.0207211,	6.27849,	0,	0.0621633,	2.50725,	0.124327,	0.870286,	1.63697,	
HPAF,	0.119048,	12.7183,	1.52778,	1.0119,	1.15079,	1.38889,	0.575397,	0.535714,	0.436508,	1.96429,	0.238095,	0.992064,	2.99603,	0.178571,	0.595238,	0.15873,	0.734127,	1.56746,	0.456349,	0.15873,	0.93254,	0.31746,	2.61905,	0.416667,	1.42857,	0.31746,	0.416667,	0.575397,	0.257937,	0.238095,	0.337302,	6.03175,	0.476191,	0.31746,	0.396825,	0.535714,	0.357143,	1.21032,	1.28968,	2.00397,	0.714286,	0.436508,	0.0793651,	0.257937,	0.0198413,	0.0992064,	0.714286,	0.575397,	1.23016,	0.77381,	0.277778,	0.0992064,	1.90476,	0.93254,	5.69444,	1.23016,	0.198413,	0.15873,	0.31746,	1.03175,	0.138889,	0.694444,	0.952381,	0.277778,	0.416667,	0.238095,	0.0396825,	0.972222,	2.57937,	0.31746,	0.119048,	1.40873,	0.357143,	0.0793651,	2.12302,	0.436508,	3.78968,	0.277778,	1.38889,	0.277778,	1.42857,	0.436508,	0.0396825,	0.952381,	0.436508,	0.198413,	1.50794,	0.178571,	0.0992064,	0.0595238,	0.0992064,	0.15873,	0.0992064,	4.96032,	0.0396825,	0.0595238,	2.5,	0.238095,	1.32937,	1.56746,	
HPF,	0.0785855,	12.7308,	1.63065,	1.43418,	1.15914,	1.11984,	0.667976,	0.64833,	0.412574,	1.51277,	0.294695,	0.903733,	2.77014,	0.0785855,	0.589391,	0.157171,	0.766208,	1.31631,	0.589391,	0.373281,	1.02161,	0.451866,	2.82908,	0.805501,	1.3556,	0.157171,	0.471513,	0.510806,	0.176817,	0.0589391,	0.510806,	5.04912,	0.667976,	0.353635,	0.43222,	0.707269,	0.353635,	1.33595,	1.82711,	1.80747,	1.1002,	0.373281,	0.0392927,	0.235756,	0,	0.196464,	0.766208,	0.687623,	0.903733,	0.667976,	0.235756,	0.0392927,	1.63065,	1.68959,	6.03143,	1.13949,	0.196464,	0.117878,	0.353635,	1.19843,	0.0982318,	0.766208,	1.21807,	0.294695,	0.373281,	0.294695,	0.0196464,	1.3556,	2.63261,	0.255403,	0.0392927,	1.47348,	0.353635,	0.0392927,	1.84676,	0.373281,	3.222,	0.314342,	1.47348,	0.412574,	0.884086,	0.569745,	0.0392927,	0.903733,	0.43222,	0.176817,	1.80747,	0.137525,	0.0589391,	0.0785855,	0.0196464,	0.157171,	0.117878,	4.5776,	0.0589391,	0.117878,	1.88605,	0.176817,	1.47348,	1.74853,	
HPdLF,	0.0595711,	13.2645,	1.62828,	0.992851,	1.31056,	1.15171,	0.714853,	0.555997,	0.555997,	1.35028,	0.277998,	0.992851,	3.05798,	0.178713,	0.595711,	0.119142,	0.774424,	1.25099,	0.377284,	0.218427,	0.953137,	0.33757,	2.83956,	0.73471,	1.37014,	0.158856,	0.377284,	0.655282,	0.178713,	0.0397141,	0.555997,	4.96426,	0.397141,	0.297855,	0.476569,	0.635425,	0.357427,	1.15171,	1.48928,	1.66799,	0.754567,	0.516283,	0.178713,	0.277998,	0.0397141,	0.19857,	0.913423,	0.595711,	1.13185,	0.496426,	0.317712,	0.0595711,	1.64813,	1.31056,	5.71882,	1.56871,	0.138999,	0.0397141,	0.397141,	1.07228,	0.158856,	0.416998,	0.992851,	0.496426,	0.436855,	0.317712,	0.0794281,	1.29071,	2.76013,	0.416998,	0.0794281,	1.60842,	0.158856,	0.0397141,	2.32327,	0.416998,	3.93169,	0.33757,	1.66799,	0.158856,	1.15171,	0.516283,	0.0595711,	0.873709,	0.33757,	0.218427,	1.80699,	0.19857,	0.119142,	0.0595711,	0.019857,	0.178713,	0.19857,	4.22955,	0.019857,	0.0794281,	2.1247,	0.317712,	1.33042,	1.62828,	
HepG2,	0.421053,	22.6433,	1.12281,	2.33918,	1.4269,	0.491228,	0.350877,	0.865497,	0.210526,	0.0701754,	0.140351,	1.49708,	2.33918,	0.748538,	1.16959,	1.26316,	0.77193,	0.140351,	0.467836,	0.421053,	1.16959,	0.467836,	0.25731,	1.87135,	0.210526,	0.374269,	0.77193,	0.421053,	0.327485,	2.69006,	0.233918,	0.701754,	0.397661,	2.08187,	1.07602,	0.163743,	1.1462,	1.91813,	0.187135,	0.982456,	2.61988,	0.935673,	0.163743,	0.444444,	0.140351,	0.116959,	0.0467836,	0.210526,	1.40351,	1.09942,	0.187135,	0.116959,	0.818713,	0.935673,	1.21637,	0.631579,	0.280702,	1.23977,	0.0233918,	0.561404,	0.561404,	0.818713,	0.25731,	0.374269,	0.0935673,	1.52047,	0.210526,	0.865497,	1.33333,	0.280702,	0.327485,	1.02924,	0.163743,	1.4269,	2.73684,	0.397661,	1.52047,	0.0467836,	3.39181,	0.280702,	1.66082,	0.725146,	0.116959,	0.912281,	1.59064,	1.09942,	0.818713,	0.116959,	1.82456,	1.07602,	0.444444,	0.0467836,	0.725146,	0.25731,	0.163743,	0.116959,	0.0701754,	0.140351,	0.163743,	0.748538,	
NHDF-neo,	0.0389484,	13.3593,	2.16164,	1.36319,	1.22687,	1.32425,	0.467381,	0.486855,	0.740019,	1.44109,	0.23369,	0.915287,	2.84323,	0.136319,	0.740019,	0.253165,	0.720545,	1.8111,	0.506329,	0.428432,	1.05161,	0.350536,	2.53165,	0.642648,	1.46056,	0.194742,	0.525803,	0.623174,	0.37001,	0.097371,	0.564752,	4.57644,	0.642648,	0.525803,	0.486855,	0.506329,	0.292113,	1.26582,	1.2853,	1.96689,	0.798442,	0.311587,	0.0194742,	0.136319,	0.0389484,	0.0778968,	0.856865,	0.545277,	0.876339,	0.6037,	0.292113,	0.0584226,	1.77215,	1.69426,	5.19961,	1.22687,	0.23369,	0.155794,	0.506329,	1.03213,	0.253165,	0.662123,	1.16845,	0.545277,	0.525803,	0.428432,	0.116845,	1.2074,	2.16164,	0.486855,	0.116845,	1.51899,	0.155794,	0.116845,	1.79163,	0.37001,	3.89484,	0.23369,	1.36319,	0.194742,	1.26582,	0.564752,	0.0389484,	0.954236,	0.447906,	0.23369,	1.49951,	0.0778968,	0.136319,	0.0389484,	0.0194742,	0.389484,	0.175268,	4.05063,	0.0194742,	0.0778968,	2.12269,	0.175268,	1.2074,	1.59688,	
