cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
HCM,	0.41425,	11.4333,	0.4971,	1.20133,	1.59486,	0.08285,	0.476388,	0.269263,	0.144988,	0.0621375,	0.227838,	0.787075,	0.476388,	0.621375,	0.103563,	2.67191,	0.186413,	0.434963,	3.58326,	0.74565,	0.8285,	1.26346,	0.08285,	4.6396,	0.124275,	0.3314,	0.041425,	1.20133,	0.124275,	0.3314,	0.352113,	0.124275,	0.103563,	1.24275,	9.40348,	0.103563,	0.1657,	7.37365,	0.0621375,	0.559238,	2.54764,	2.07125,	0.0621375,	1.57415,	0.041425,	0.0207125,	0.372825,	0.538525,	0.41425,	1.88484,	1.28418,	0.393538,	0.704225,	0.766363,	1.13919,	0.91135,	0.144988,	0.124275,	0,	0.538525,	0.289975,	0.393538,	0.124275,	0.269263,	0.0207125,	0.24855,	0.041425,	0.8285,	0.455675,	0.041425,	0.08285,	0.6628,	0,	3.70754,	8.55427,	0.310688,	0.434963,	0.517813,	2.54764,	0.144988,	0.3314,	0.08285,	0.08285,	0.103563,	0.269263,	0.91135,	0.6628,	0.041425,	1.42916,	0.538525,	0.455675,	0.041425,	1.92626,	0.476388,	2.3198,	0.041425,	0,	0.144988,	0.1657,	0.289975,	
HCPEpiC,	0.370905,	10.612,	0.63878,	1.00968,	1.4218,	0.103029,	0.721203,	0.226664,	0.103029,	0.0412116,	0.0412116,	0.947867,	0.370905,	0.185452,	0.144241,	3.04966,	0.103029,	0.597569,	3.95632,	0.63878,	0.515145,	1.33938,	0.0618174,	5.06903,	0.0824232,	0.473934,	0.103029,	1.58665,	0.103029,	0.24727,	0.370905,	0.0412116,	0.0618174,	1.56604,	9.74655,	0.185452,	0.164846,	6.47022,	0,	0.432722,	2.88481,	1.99876,	0.103029,	1.4012,	0.103029,	0.0206058,	0.412116,	0.39151,	0.597569,	2.4933,	1.38059,	0.267876,	0.700598,	0.721203,	1.25695,	0.906656,	0.164846,	0.164846,	0,	0.576963,	0.164846,	0.206058,	0.0618174,	0.206058,	0,	0.226664,	0.0206058,	0.679992,	0.350299,	0.0618174,	0.103029,	1.0715,	0.0206058,	3.93571,	9.29322,	0.24727,	0.144241,	0.556357,	2.10179,	0.0618174,	0.329693,	0.103029,	0.0412116,	0.123635,	0.24727,	0.88605,	0.473934,	0.0618174,	1.4012,	0.432722,	0.576963,	0.0206058,	1.93695,	0.309087,	2.39027,	0,	0.0412116,	0.144241,	0.0824232,	0.432722,	
HEEpiC,	0.403796,	12.1946,	0.827781,	1.02968,	1.69594,	0.0605693,	0.706642,	0.201898,	0.161518,	0.0201898,	0.141328,	0.96911,	0.565314,	0.484555,	0.141328,	2.40258,	0.302847,	0.403796,	2.88714,	0.625883,	0.827781,	1.07006,	0,	4.76479,	0.121139,	0.282657,	0.121139,	1.23158,	0.0807591,	0.222088,	0.262467,	0.222088,	0.0605693,	1.67575,	8.56047,	0.161518,	0.343226,	7.40965,	0.0605693,	0.403796,	2.46315,	1.81708,	0.0605693,	1.15082,	0.121139,	0,	0.323037,	0.423985,	0.484555,	2.1805,	0.90854,	0.201898,	0.646073,	1.00949,	0.868161,	0.807591,	0.262467,	0.100949,	0,	0.585504,	0.302847,	0.262467,	0.0807591,	0.423985,	0.100949,	0.222088,	0,	0.847971,	0.646073,	0.0605693,	0.121139,	0.807591,	0,	4.17929,	8.60085,	0.323037,	0.222088,	0.282657,	3.04866,	0.0807591,	0.464365,	0.0605693,	0.0201898,	0.161518,	0.262467,	1.02968,	0.747022,	0.0403796,	1.45366,	0.585504,	0.706642,	0.0201898,	1.91803,	0.363416,	2.22088,	0,	0,	0.100949,	0,	0.706642,	
HFF,	0.453515,	13.8116,	1.07194,	1.05133,	1.91713,	0.247372,	0.845187,	0.371058,	0.164914,	0,	0.0824572,	1.31932,	0.865801,	0.412286,	0.247372,	2.32942,	0.494743,	0.577201,	3.56628,	0.948258,	0.721501,	1.77283,	0.123686,	4.22593,	0.0206143,	0.515358,	0.247372,	1.11317,	0.0824572,	0.329829,	0.618429,	0.329829,	0.103072,	1.77283,	4.92682,	0.206143,	0.535972,	5.71016,	0.164914,	0.535972,	2.63863,	1.46362,	0.350443,	1.64914,	0.0618429,	0.0206143,	0.329829,	0.721501,	0.762729,	2.04082,	1.09256,	0.267986,	0.865801,	1.46362,	1.03072,	1.05133,	0.412286,	0.247372,	0,	0.948258,	0.164914,	0.453515,	0.164914,	0.494743,	0.0618429,	0.206143,	0.0618429,	0.845187,	0.803958,	0.123686,	0.185529,	1.13379,	0.0618429,	2.98907,	5.54525,	0.556586,	0.247372,	0.742115,	1.7316,	0.185529,	0.329829,	0.185529,	0.0412286,	0.185529,	0.371058,	1.42239,	0.762729,	0.0412286,	1.56669,	0.742115,	0.721501,	0,	1.50484,	0.391672,	1.7316,	0.0206143,	0.0412286,	0.267986,	0.123686,	0.535972,	
HIPEpiC,	0.524511,	10.4902,	0.685899,	1.43232,	1.71475,	0.0605205,	0.80694,	0.121041,	0.181561,	0.0605205,	0.121041,	0.605205,	0.46399,	0.383296,	0.201735,	2.50151,	0.262255,	0.262255,	3.63123,	0.988501,	0.706072,	1.17006,	0.0605205,	5.16441,	0.0605205,	0.342949,	0.080694,	1.41214,	0.121041,	0.141214,	0.524511,	0.161388,	0.040347,	1.21041,	8.89651,	0.0605205,	0.181561,	10.1674,	0.161388,	0.383296,	2.56203,	1.69457,	0.121041,	1.81561,	0.141214,	0.0201735,	0.342949,	0.443817,	0.484164,	2.15856,	1.2911,	0.262255,	0.665725,	0.706072,	0.948154,	0.80694,	0.181561,	0.080694,	0,	0.786766,	0.221908,	0.363123,	0.221908,	0.423643,	0.0201735,	0.161388,	0.0201735,	0.685899,	0.423643,	0,	0.100867,	0.887634,	0.040347,	3.81279,	6.85899,	0.342949,	0.262255,	0.605205,	2.23926,	0.121041,	0.221908,	0.141214,	0.040347,	0.100867,	0.221908,	0.685899,	0.746419,	0.040347,	1.35162,	0.443817,	0.423643,	0.040347,	2.50151,	0.383296,	2.19891,	0,	0.040347,	0.121041,	0.121041,	0.302602,	
HMF,	0.313939,	13.5622,	0.732524,	1.2139,	1.79992,	0.188363,	0.983675,	0.439514,	0.125576,	0,	0.0418585,	1.08832,	0.523231,	0.460444,	0.146505,	2.61616,	0.188363,	0.627878,	2.42779,	0.648807,	0.753453,	1.59062,	0.0209293,	5.46254,	0.125576,	0.27208,	0.125576,	1.23483,	0.146505,	0.251151,	0.209293,	0.146505,	0.0418585,	1.67434,	8.28799,	0.188363,	0.439514,	4.70908,	0.0209293,	0.376727,	2.55337,	2.34408,	0.083717,	1.29761,	0.0418585,	0,	0.355797,	0.56509,	0.544161,	1.98828,	0.941817,	0.27208,	0.711595,	0.816241,	1.25576,	0.941817,	0.188363,	0.0627878,	0,	0.690666,	0.230222,	0.251151,	0.0627878,	0.230222,	0,	0.167434,	0.0209293,	0.795312,	0.481373,	0.104646,	0.146505,	0.920887,	0.083717,	3.4324,	9.4391,	0.27208,	0.355797,	0.29301,	3.32775,	0.125576,	0.502302,	0.083717,	0.0209293,	0.125576,	0.397656,	1.15111,	0.83717,	0.0627878,	0.774383,	0.648807,	0.355797,	0,	1.29761,	0.251151,	2.09293,	0,	0,	0.230222,	0.0418585,	0.523231,	
HMVEC-dBl-Ad,	0.353872,	12.9684,	0.499584,	1.24896,	1.06162,	0.20816,	0.853455,	0.31224,	0.20816,	0.020816,	0.166528,	1.06162,	0.62448,	0.499584,	0.187344,	2.22731,	0.270608,	0.291424,	2.78934,	0.541216,	0.5204,	1.58201,	0.041632,	3.62198,	0.041632,	0.395504,	0.187344,	1.26978,	0.145712,	0.291424,	0.20816,	0.166528,	0.10408,	1.79017,	10.0958,	0.041632,	0.270608,	4.87094,	0.062448,	0.31224,	2.78934,	1.51957,	0.10408,	1.87344,	0.062448,	0,	0.395504,	0.291424,	0.437136,	2.31057,	1.01998,	0.124896,	0.582848,	0.749376,	1.0408,	0.666112,	0.228976,	0.0832639,	0,	0.666112,	0.374688,	0.333056,	0.145712,	0.145712,	0.041632,	0.270608,	0.020816,	0.853455,	0.666112,	0.0832639,	0.062448,	0.874271,	0.020816,	3.62198,	10.1998,	0.187344,	0.291424,	0.41632,	3.91341,	0.145712,	0.603664,	0.145712,	0.041632,	0.020816,	0.333056,	0.978351,	0.541216,	0.020816,	1.49875,	0.666112,	0.457952,	0.041632,	1.10325,	0.249792,	2.602,	0,	0,	0.10408,	0.020816,	0.541216,	
HPAF,	0.575185,	11.3394,	0.718981,	1.212,	1.35579,	0.061627,	0.677896,	0.205423,	0.0821693,	0.0205423,	0.184881,	0.636812,	0.657354,	0.575185,	0.061627,	2.69104,	0.205423,	0.246508,	4.06738,	1.04766,	0.965489,	1.4585,	0.0821693,	5.13558,	0.0410846,	0.431389,	0.0205423,	1.04766,	0.0410846,	0.143796,	0.308135,	0.246508,	0.0410846,	1.19145,	8.60723,	0.0821693,	0.287592,	8.87428,	0.0410846,	0.410846,	3.24569,	1.93098,	0.143796,	1.68447,	0.102712,	0.0205423,	0.472473,	0.369762,	0.431389,	1.91044,	1.52013,	0.164339,	0.677896,	0.698439,	1.04766,	0.739523,	0.184881,	0.102712,	0,	0.657354,	0.225965,	0.287592,	0.102712,	0.410846,	0.0205423,	0.184881,	0.0410846,	0.842235,	0.369762,	0,	0.102712,	0.780608,	0.061627,	3.55382,	7.74445,	0.205423,	0.390304,	0.739523,	1.37634,	0.123254,	0.184881,	0.143796,	0.102712,	0.0410846,	0.143796,	0.862777,	0.472473,	0,	1.33525,	0.61627,	0.493016,	0.0410846,	2.42399,	0.410846,	2.44454,	0.0410846,	0,	0.102712,	0.061627,	0.328677,	
HPdLF,	0.537403,	13.0052,	0.644884,	1.24678,	1.84867,	0.171969,	0.558899,	0.150473,	0.171969,	0.0214961,	0.171969,	0.988822,	0.580396,	0.451419,	0.0859845,	2.7515,	0.236457,	0.408426,	3.28891,	0.752365,	0.644884,	1.16079,	0,	5.69647,	0.107481,	0.236457,	0.150473,	0.859845,	0.0429923,	0.38693,	0.300946,	0.236457,	0.0644884,	1.6767,	8.14703,	0.0644884,	0.322442,	8.40499,	0.0214961,	0.472915,	2.57954,	1.87016,	0.150473,	1.56922,	0.171969,	0,	0.365434,	0.38693,	0.859845,	1.6767,	1.52623,	0.429923,	0.601892,	0.816853,	1.1178,	1.07481,	0.322442,	0.0859845,	0,	0.601892,	0.107481,	0.257954,	0.0429923,	0.343938,	0.0429923,	0.171969,	0,	0.838349,	0.730868,	0.0429923,	0.0644884,	1.20378,	0,	2.70851,	7.45916,	0.322442,	0.236457,	0.537403,	1.84867,	0.150473,	0.128977,	0.107481,	0.0214961,	0.0429923,	0.236457,	1.05331,	0.66638,	0.0214961,	1.28977,	0.429923,	0.623388,	0,	2.30009,	0.429923,	1.74119,	0.0429923,	0,	0.0859845,	0.0429923,	0.343938,	
HepG2,	0.535189,	25.1539,	0.93658,	0.93658,	1.65908,	0.96334,	0.160557,	1.73936,	0.133797,	0.133797,	0.187316,	2.32807,	3.6928,	1.09714,	0.668986,	1.65908,	0.240835,	0.0802783,	0.0802783,	0.0267594,	0.374632,	0.133797,	1.17742,	0.214075,	0.107038,	0.107038,	0.401392,	0.347873,	1.60557,	0.428151,	0.0802783,	1.60557,	0.722505,	2.78298,	0.0802783,	0.856302,	1.47177,	1.44501,	0.347873,	1.79288,	0.107038,	0.45491,	0.267594,	0,	0.0802783,	0.321113,	0.0802783,	0.0535189,	2.62242,	0.187316,	0.0267594,	0.0267594,	0.160557,	1.23093,	0.561948,	0.48167,	0.0802783,	0.321113,	0.347873,	0.508429,	1.63233,	0.642226,	0.0802783,	0.347873,	0.160557,	0.668986,	0.0267594,	0.695745,	3.74632,	0.187316,	0.642226,	1.9802,	0.133797,	0.133797,	1.87316,	0.428151,	3.50549,	0.0267594,	6.82366,	0.0267594,	1.63233,	0.615467,	0,	0.508429,	1.25769,	1.09714,	1.1239,	0.0267594,	0.535189,	0.133797,	0.0535189,	0,	0.294354,	0.695745,	0.0267594,	0.0535189,	0.267594,	0.0267594,	0.214075,	1.25769,	
NHDF-neo,	0.476191,	13.9959,	0.848861,	0.973085,	1.65631,	0.124224,	0.455487,	0.207039,	0.144928,	0,	0.144928,	0.952381,	0.807453,	0.455487,	0.144928,	2.50518,	0.372671,	0.289855,	3.51967,	1.24224,	1.0352,	1.36646,	0.144928,	5.42443,	0.0414079,	0.331263,	0.186335,	1.11801,	0.0207039,	0.227743,	0.414079,	0.186335,	0.0621118,	1.67702,	7.22567,	0.144928,	0.289855,	8.17805,	0.10352,	0.786749,	1.94617,	1.5735,	0.124224,	1.44928,	0.0621118,	0.0621118,	0.289855,	0.517598,	0.559006,	1.78054,	1.22153,	0.186335,	0.559006,	1.13872,	0.68323,	0.57971,	0.165631,	0.144928,	0,	0.68323,	0.248447,	0.455487,	0.0828157,	0.414079,	0,	0.310559,	0.0207039,	1.0352,	0.952381,	0.0621118,	0.144928,	1.18012,	0.0207039,	3.02277,	6.79089,	0.393375,	0.869565,	0.434783,	2.52588,	0.144928,	0.310559,	0.0621118,	0,	0.124224,	0.310559,	0.807453,	0.662526,	0,	1.20083,	0.372671,	0.455487,	0.0207039,	1.88406,	0.331263,	1.5528,	0.0207039,	0.0207039,	0.0621118,	0.269151,	0.414079,	
