cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
HCM,	0.400601,	21.7326,	1.50225,	1.70255,	1.85278,	1.10165,	0.701052,	1.0015,	0.650976,	0.300451,	0.2003,	0.751127,	0.751127,	1.05158,	0.10015,	1.15173,	0.300451,	0.450676,	0.300451,	0.500751,	1.15173,	0.400601,	0.951427,	2.003,	0.2003,	0.400601,	0.350526,	0.250376,	0.350526,	0,	0.10015,	2.25338,	0.500751,	2.2033,	1.10165,	1.35203,	1.70255,	2.40361,	1.55233,	0.2003,	0.650976,	1.10165,	0.450676,	0.350526,	0.10015,	0.0500751,	1.30195,	0,	0.901352,	1.2018,	0.500751,	0,	0.0500751,	1.30195,	2.30346,	0.851277,	0.150225,	0.400601,	0.10015,	1.0015,	0.851277,	0,	1.05158,	0.500751,	0.400601,	1.10165,	0.250376,	0.550826,	2.80421,	0.350526,	0.350526,	1.70255,	1.35203,	0.300451,	2.30346,	0.400601,	4.70706,	0.150225,	2.003,	0.2003,	0.701052,	0.300451,	0.10015,	0.150225,	0.650976,	0.801202,	1.4021,	0,	0.350526,	0.450676,	0.2003,	0.300451,	0,	0.851277,	0,	0,	0.350526,	0,	1.75263,	1.6024,	
HCPEpiC,	0.241313,	18.6293,	2.07529,	1.83398,	2.60618,	0.482625,	0.482625,	1.06178,	0.772201,	0.19305,	0.144788,	0.772201,	0.337838,	1.49614,	0.289575,	1.35135,	0.337838,	0.530888,	0.772201,	0.434363,	1.01351,	0.337838,	0.772201,	2.60618,	0.723938,	0.675676,	0.144788,	0.3861,	0.0482625,	0,	0.434363,	1.83398,	0.289575,	1.64093,	0.868726,	1.20656,	1.49614,	2.12355,	1.49614,	0.627413,	0.579151,	0.916988,	0.723938,	0.579151,	0.0965251,	0.144788,	1.73745,	0,	0.675676,	1.39961,	0.579151,	0.241313,	0,	1.35135,	2.55791,	0.916988,	0.0965251,	0.530888,	0.144788,	1.20656,	1.30309,	0.19305,	1.11004,	0.144788,	0.482625,	0.868726,	0.482625,	0.579151,	2.22008,	0.337838,	0.530888,	1.35135,	1.20656,	0.482625,	2.94402,	0.579151,	3.71622,	0.19305,	1.78571,	0.289575,	0.675676,	0.482625,	0.0965251,	0.0965251,	0.723938,	1.20656,	1.5444,	0.0482625,	0.916988,	0.530888,	0.19305,	0.144788,	0.0965251,	1.01351,	0.0482625,	0.0482625,	0.19305,	0,	1.88224,	1.20656,	
HEEpiC,	0.483729,	11.8734,	1.67106,	2.59455,	1.62709,	0.791557,	0.747581,	1.31926,	1.27529,	0.175901,	0.351803,	0.659631,	0.131926,	2.15479,	0.263852,	1.31926,	0.307828,	0.835532,	0.395778,	0.615655,	0.703606,	0.219877,	0.791557,	2.41865,	0.967458,	0.923483,	0.131926,	0.57168,	0.0879507,	0.0879507,	0.219877,	1.71504,	0.351803,	1.40721,	1.05541,	1.27529,	0.57168,	2.11082,	1.45119,	0.351803,	0.439754,	1.14336,	0.703606,	0.263852,	0.0439754,	0.263852,	2.24274,	0.131926,	0.351803,	1.80299,	0.879508,	0.219877,	0.0439754,	1.05541,	2.99033,	0.835532,	0.263852,	0.659631,	0.0439754,	1.75902,	2.02287,	0.439754,	1.45119,	0.307828,	1.14336,	1.05541,	0.395778,	0.395778,	2.06684,	0.483729,	0.395778,	1.36324,	2.8584,	0.395778,	2.37467,	0.659631,	4.66139,	0.219877,	1.58311,	0.219877,	1.62709,	0.527704,	0.307828,	0,	0.659631,	0.703606,	1.62709,	0,	0.659631,	0.175901,	0.351803,	0.483729,	0,	0.791557,	0.0879507,	0,	0.131926,	0.0439754,	3.25418,	0.923483,	
HFF,	0.415321,	16.982,	1.75358,	1.61514,	1.79972,	1.66128,	0.415321,	1.10752,	1.01523,	0.230734,	0.230734,	1.10752,	0.830642,	1.43055,	0.13844,	1.24596,	0.230734,	0.27688,	0.27688,	0.461467,	0.922935,	0.323027,	1.98431,	1.84587,	0.507614,	0.461467,	0.369174,	0.369174,	0.0461467,	0.0922935,	0.415321,	2.03046,	0.323027,	2.12275,	0.830642,	1.33826,	1.52284,	2.12275,	0.922935,	0.507614,	0.553761,	0.922935,	0.830642,	0.13844,	0.13844,	0.230734,	1.66128,	0,	0.507614,	0.922935,	0.692201,	0.230734,	0.0461467,	1.3844,	1.61514,	1.01523,	0.13844,	0.230734,	0.0461467,	1.06138,	1.98431,	0.369174,	1.3844,	0.738348,	0.922935,	1.19982,	0.415321,	0.461467,	3.36871,	0.184587,	0.461467,	1.75358,	1.52284,	0.369174,	2.30734,	0.599908,	4.33779,	0.0922935,	1.79972,	0.27688,	0.646054,	0.230734,	0.0922935,	0.0922935,	0.507614,	1.43055,	1.70743,	0,	0.507614,	0.323027,	0.27688,	0.507614,	0.0461467,	1.10752,	0,	0,	0.323027,	0,	1.89202,	1.10752,	
HIPEpiC,	0.0929368,	19.9814,	1.9052,	1.99814,	2.41636,	0.650558,	0.743494,	0.929368,	0.511152,	0.232342,	0.185874,	0.975836,	0.464684,	1.0223,	0.0929368,	1.11524,	0.185874,	0.418216,	0.464684,	0.650558,	1.16171,	0.232342,	0.8829,	2.27695,	0.464684,	0.743494,	0.185874,	0.464684,	0,	0.0929368,	0.0929368,	2.13755,	0.0929368,	2.32342,	0.789963,	0.8829,	0.511152,	2.97398,	1.57993,	0.325279,	0.185874,	0.929368,	0.325279,	0.464684,	0,	0.0464684,	1.34758,	0,	0.789963,	1.48699,	0.511152,	0.232342,	0.0929368,	1.67286,	2.74164,	1.16171,	0.139405,	0.697026,	0.27881,	1.0223,	1.20818,	0.0929368,	1.48699,	0.371747,	0.371747,	0.929368,	0.232342,	0.418216,	3.25279,	0.139405,	0.418216,	2.04461,	1.06877,	0.511152,	2.6487,	0.511152,	3.671,	0.139405,	1.67286,	0.185874,	0.8829,	0.0929368,	0.139405,	0.185874,	0.697026,	1.25465,	1.7658,	0.0464684,	0.8829,	0.418216,	0.0929368,	0.185874,	0.185874,	1.11524,	0,	0.0929368,	0.27881,	0.0464684,	1.71933,	1.16171,	
HMF,	0.489716,	18.3154,	1.51812,	1.42018,	2.10578,	0.342801,	0.734574,	0.734574,	0.489716,	0.244858,	0.440744,	0.881489,	0.538688,	0.587659,	0.0979432,	1.66503,	0.29383,	0.244858,	0.587659,	0.195886,	1.51812,	0.195886,	0.734574,	2.44858,	0.587659,	0.489716,	0.29383,	0.489716,	0.0979432,	0.146915,	0.0979432,	1.51812,	0.342801,	2.35064,	1.76298,	1.0284,	1.12635,	3.23213,	1.42018,	0.783545,	0.881489,	0.685602,	0.538688,	0.440744,	0.195886,	0.146915,	1.0284,	0.146915,	0.881489,	1.71401,	0.29383,	0.0979432,	0.244858,	1.27326,	1.66503,	0.636631,	0.29383,	0.489716,	0,	1.27326,	1.22429,	0.391773,	1.12635,	0.538688,	0.538688,	0.979432,	0.0979432,	0.489716,	2.79138,	0.29383,	0.440744,	1.32223,	1.22429,	0.685602,	3.42801,	0.440744,	5.14202,	0.0489716,	1.12635,	0.0489716,	0.685602,	0.195886,	0.0979432,	0.440744,	0.587659,	0.881489,	2.15475,	0,	1.12635,	0.636631,	0.0979432,	0.342801,	0.0979432,	0.734574,	0,	0,	0.391773,	0,	1.86092,	1.76298,	
HMVEC-dBl-Ad,	0.20202,	19.1414,	1.41414,	1.66667,	2.47475,	0.353535,	0.757576,	0.858586,	0.555556,	0.10101,	0.40404,	1.26263,	0.50505,	1.06061,	0.30303,	1.46465,	0.252525,	0.252525,	0.20202,	0.808081,	1.61616,	0.151515,	0.707071,	3.0303,	0.606061,	0.707071,	0.20202,	0.50505,	0.0505051,	0.0505051,	0.20202,	1.36364,	0.50505,	1.9697,	1.21212,	0.757576,	0.959596,	2.47475,	1.46465,	0.656566,	0.50505,	0.656566,	0.707071,	0.40404,	0.10101,	0.10101,	1.21212,	0,	1.31313,	2.12121,	0.606061,	0.151515,	0.10101,	1.21212,	2.32323,	0.909091,	0.10101,	0.30303,	0.0505051,	0.757576,	0.757576,	0.252525,	0.757576,	0.151515,	0.707071,	1.31313,	0.30303,	0.606061,	2.52525,	0.656566,	0.555556,	1.86869,	1.31313,	0.858586,	2.9798,	0.40404,	3.43434,	0.10101,	2.0202,	0.30303,	0.909091,	0.20202,	0.0505051,	0.10101,	0.454545,	1.46465,	2.27273,	0,	1.0101,	0.353535,	0.10101,	0.20202,	0.151515,	0.656566,	0.10101,	0,	0.10101,	0.10101,	1.61616,	1.41414,	
HPAF,	0,	21.2692,	1.73525,	1.48736,	2.33019,	0.0495786,	0.545364,	0.743679,	0.644522,	0.0991572,	0.247893,	0.842836,	0.396629,	1.18989,	0.0991572,	1.23946,	0.198314,	0.247893,	0.446207,	0.6941,	1.53694,	0.297471,	1.09073,	1.93356,	0.6941,	0.793257,	0.297471,	0.34705,	0.0495786,	0.0991572,	0.0991572,	2.23104,	0.148736,	1.83441,	1.23946,	1.04115,	1.3882,	3.12345,	1.43778,	0.6941,	0.594943,	0.545364,	0.6941,	0.396629,	0.0991572,	0.0495786,	0.892414,	0.0495786,	0.941993,	1.23946,	0.198314,	0.198314,	0.0495786,	1.33862,	2.33019,	0.991572,	0.148736,	0.495786,	0.0991572,	0.842836,	0.6941,	0.0495786,	1.09073,	0.396629,	0.594943,	1.28904,	0.0991572,	0.495786,	2.67724,	0.6941,	0.842836,	2.18146,	1.04115,	0.594943,	2.13188,	0.297471,	4.01587,	0.0991572,	1.83441,	0.247893,	0.6941,	0.495786,	0.247893,	0.148736,	0.743679,	1.3882,	1.48736,	0,	1.09073,	0.396629,	0.0991572,	0.148736,	0.0991572,	0.743679,	0.0495786,	0.0495786,	0.247893,	0.0991572,	2.0823,	1.23946,	
HPF,	0.193705,	23.0508,	1.35593,	1.88862,	2.56659,	0.581114,	0.435835,	1.1138,	0.387409,	0.193705,	0.193705,	1.1138,	0.581114,	0.871671,	0.193705,	1.40436,	0.242131,	0.193705,	0.290557,	0.532688,	1.54964,	0.193705,	0.726392,	1.84019,	0.338983,	0.677966,	0.387409,	0.338983,	0.145278,	0.0968523,	0.0968523,	1.84019,	0.435835,	2.13075,	1.16223,	0.677966,	1.35593,	2.66344,	1.50121,	0.677966,	0.435835,	1.06538,	0.532688,	0.242131,	0.242131,	0.0968523,	0.871671,	0.0484261,	1.30751,	1.45278,	0.532688,	0.0968523,	0.0968523,	0.871671,	2.32446,	1.1138,	0.145278,	0.435835,	0.0968523,	1.06538,	0.532688,	0.338983,	0.968523,	0.290557,	0.677966,	1.16223,	0.290557,	0.677966,	2.71186,	0.387409,	0.435835,	2.17918,	0.726392,	0.581114,	2.46973,	0.290557,	3.77724,	0,	1.84019,	0.0968523,	0.920097,	0.387409,	0.0968523,	0.0968523,	1.06538,	1.25908,	1.59806,	0.145278,	0.677966,	0.290557,	0.242131,	0.0484261,	0,	0.677966,	0,	0,	0.242131,	0,	1.06538,	1.45278,	
HPdLF,	0.358423,	22.171,	1.5873,	1.84332,	2.96979,	0.460829,	0.409626,	0.716846,	0.665643,	0.256016,	0.15361,	0.972862,	0.512033,	1.17768,	0.15361,	1.68971,	0.102407,	0.409626,	0.15361,	0.409626,	1.22888,	0.204813,	0.819252,	2.76498,	0.256016,	0.665643,	0.0512033,	0.563236,	0,	0.204813,	0.256016,	1.17768,	0.15361,	2.09933,	1.07527,	0.870456,	0.972862,	3.37942,	1.43369,	0.512033,	0.716846,	0.972862,	0.409626,	0.614439,	0.0512033,	0.102407,	0.921659,	0.0512033,	1.22888,	1.5873,	0.409626,	0.102407,	0,	0.972862,	1.84332,	1.12647,	0.358423,	0.358423,	0,	0.972862,	0.870456,	0.15361,	1.07527,	0.30722,	0.870456,	1.12647,	0.204813,	0.409626,	2.76498,	0.256016,	0.30722,	2.25294,	1.07527,	0.460829,	2.56016,	0.30722,	4.55709,	0.0512033,	1.43369,	0.256016,	0.614439,	0.460829,	0.204813,	0.102407,	0.358423,	0.972862,	1.5361,	0.102407,	0.870456,	0.15361,	0.256016,	0.204813,	0.30722,	0.665643,	0,	0,	0.15361,	0.0512033,	1.48489,	1.5361,	
HepG2,	0.340329,	22.2348,	1.24787,	1.30459,	1.70165,	0.340329,	0.794101,	0.680658,	0.453772,	0.0567215,	0.510493,	1.07771,	4.70788,	0.39705,	0.964266,	1.30459,	0.453772,	0.0567215,	0.39705,	0.226886,	0.794101,	0.623936,	0.113443,	1.07771,	0.39705,	0.113443,	0.453772,	0.510493,	0.567215,	1.30459,	0.226886,	0.39705,	0.567215,	2.26886,	0.680658,	0.283607,	0.680658,	1.53148,	0.283607,	1.92853,	0.623936,	1.30459,	0.226886,	0.510493,	0.0567215,	0.113443,	0.113443,	0.737379,	3.74362,	0.39705,	0.113443,	0.0567215,	2.15542,	1.19115,	1.07771,	0.39705,	1.13443,	1.02099,	0.510493,	0.39705,	0.850823,	0.737379,	0,	0.453772,	0.113443,	0.170164,	0.283607,	1.41804,	1.13443,	0.226886,	0.623936,	2.43902,	0,	0.340329,	3.28985,	0.170164,	1.13443,	0.0567215,	5.50199,	0.283607,	1.02099,	0.39705,	0,	0.737379,	1.07771,	0.794101,	1.19115,	0.113443,	0.39705,	0.510493,	0,	0.226886,	1.47476,	0.283607,	0.170164,	0.510493,	0.170164,	0.39705,	0.170164,	1.19115,	
NHDF-neo,	0.0987167,	22.5074,	1.87562,	1.33268,	2.56663,	0.789734,	0.740375,	0.937809,	0.641658,	0.197433,	0.345508,	1.43139,	1.28332,	1.33268,	0.0987167,	1.08588,	0.29615,	0.197433,	0.5923,	0.542942,	0.88845,	0.29615,	0.937809,	2.02369,	0.394867,	0.740375,	0.0987167,	0.345508,	0.148075,	0.0987167,	0.394867,	2.12241,	0.542942,	2.22113,	0.641658,	0.542942,	1.38203,	2.31984,	1.1846,	0.789734,	0.493583,	1.13524,	0.148075,	0.29615,	0,	0,	0.937809,	0,	1.1846,	0.88845,	0.29615,	0.0987167,	0.0493583,	1.67818,	1.7769,	1.1846,	0.0987167,	0.5923,	0.197433,	0.5923,	0.542942,	0.542942,	1.08588,	0.691017,	0.345508,	1.08588,	0.148075,	0.641658,	2.81343,	0.29615,	0.394867,	2.46792,	0.691017,	0.29615,	2.66535,	0.345508,	3.84995,	0.29615,	2.46792,	0.148075,	0.641658,	0.345508,	0.0493583,	0.0493583,	0.542942,	1.38203,	1.82626,	0,	0.691017,	0.29615,	0.246792,	0.29615,	0.246792,	0.542942,	0.0493583,	0.0493583,	0.197433,	0.0493583,	1.13524,	0.88845,	
