HCM,	0.0123396,	45.5207,	2.29516,	0.913129,	1.99901,	0.246792,	0.111056,	0.271471,	0.0863771,	0.0863771,	0.703356,	0.765054,	0.259131,	0.123396,	1.34501,	0.148075,	0.802073,	1.2463,	0.579961,	0.407206,	0.90079,	0.5923,	0.0246792,	0.148075,	0.123396,	0.444225,	0.579961,	0.197433,	0.0616979,	0.0740375,	0.641658,	1.04886,	0.111056,	0.666338,	0.28381,	0.0616979,	0.666338,	0.259131,	0.715696,	0.518263,	1.38203,	0.234452,	0.0863771,	1.25864,	0.209773,	0.0246792,	0.185094,	0.123396,	0.333169,	0.407206,	0.0616979,	0.172754,	0.333169,	5.60217,	1.44373,	1.50543,	0.0493583,	0.148075,	0.0987167,	0.333169,	0.0616979,	2.41856,	0.271471,	0.394867,	0.0246792,	0.493583,	0.0370188,	1.38203,	0.0616979,	0.0863771,	0.209773,	3.25765,	0.0493583,	0.185094,	1.01185,	1.1846,	0.0987167,	0.148075,	0.209773,	1.13524,	0.530602,	0.0987167,	0.0740375,	0.370188,	1.59181,	0.579961,	1.7152,	0.148075,	0.394867,	0.148075,	0.0493583,	0.135735,	0.123396,	0.0493583,	0.0987167,	0.0987167,	0.172754,	0.259131,	0.0123396,	0.5923,	
HCPEpiC,	0.049894,	40.9006,	2.29512,	1.44693,	2.40738,	0.187102,	0.124735,	0.336784,	0.0873145,	0.149682,	0.548834,	0.873145,	0.349258,	0.261943,	1.34714,	0.212049,	1.01035,	0.960459,	0.598728,	0.424099,	0.848198,	0.548834,	0.0374205,	0.324311,	0.074841,	0.74841,	0.698516,	0.187102,	0.112261,	0.049894,	0.710989,	1.16003,	0.149682,	0.947986,	0.099788,	0.099788,	0.810777,	0.336784,	0.935512,	0.53636,	1.42198,	0.28689,	0.124735,	1.19746,	0.162155,	0.099788,	0.199576,	0.162155,	0.561307,	0.636148,	0.137208,	0.349258,	0.299364,	5.28876,	1.8336,	1.74629,	0.199576,	0.174629,	0.074841,	0.386678,	0.074841,	2.33254,	0.424099,	0.311837,	0.024947,	0.586254,	0.0374205,	1.42198,	0.212049,	0.174629,	0.224523,	2.66933,	0.049894,	0.174629,	1.17251,	1.43445,	0.261943,	0.099788,	0.361731,	0.78583,	0.74841,	0.311837,	0.0374205,	0.349258,	1.78371,	0.823251,	1.37208,	0.236996,	0.411625,	0.349258,	0.024947,	0.137208,	0.0873145,	0.0873145,	0.0623675,	0.0623675,	0.149682,	0.24947,	0.049894,	0.49894,	
HEEpiC,	0,	41.7569,	2.76821,	1.26722,	2.03002,	0.209154,	0.135335,	0.319882,	0.110728,	0.0615157,	0.504429,	0.935039,	0.319882,	0.172244,	1.29183,	0.172244,	1.23031,	1.00886,	0.578248,	0.282972,	0.799705,	0.381398,	0.0615157,	0.209154,	0.110728,	0.578248,	0.799705,	0.159941,	0.086122,	0.0738189,	0.725886,	1.09498,	0.19685,	0.922736,	0.123031,	0.0984252,	0.713583,	0.356791,	0.86122,	0.516732,	1.1565,	0.246063,	0.123031,	1.10728,	0.147638,	0.0984252,	0.258366,	0.159941,	0.565945,	0.578248,	0.0984252,	0.258366,	0.406004,	5.78248,	1.41486,	1.93159,	0.123031,	0.159941,	0.0369094,	0.295276,	0.086122,	2.63287,	0.319882,	0.393701,	0.0369094,	0.455217,	0.0492126,	1.50098,	0.23376,	0.184547,	0.147638,	3.29724,	0.086122,	0.270669,	1.21801,	1.21801,	0.209154,	0.110728,	0.295276,	0.787402,	0.812008,	0.246063,	0.0738189,	0.369094,	1.68553,	0.602854,	1.53789,	0.110728,	0.23376,	0.172244,	0.086122,	0.172244,	0.123031,	0.110728,	0.0984252,	0.159941,	0.135335,	0.209154,	0.0369094,	0.516732,	
HFF,	0.0735474,	41.3582,	2.40255,	0.968375,	1.22579,	0.122579,	0.159353,	0.539348,	0.220642,	0.220642,	0.539348,	0.735474,	0.306448,	0.208384,	1.27482,	0.122579,	1.27482,	1.13999,	0.551606,	0.392253,	0.723216,	0.551606,	0.171611,	0.196127,	0.245158,	0.649669,	0.723216,	0.171611,	0.122579,	0.0980633,	0.907085,	1.17676,	0.220642,	0.907085,	0.220642,	0.0612895,	0.710959,	0.343221,	0.600637,	0.551606,	1.92449,	0.281932,	0.110321,	1.3974,	0.269674,	0.0980633,	0.2329,	0.245158,	0.343221,	0.514832,	0.110321,	0.330963,	0.404511,	4.85413,	1.67933,	1.27482,	0.196127,	0.269674,	0.0858053,	0.2329,	0.122579,	2.84383,	0.2329,	0.52709,	0.0612895,	0.416769,	0.0980633,	1.11547,	0.134837,	0.147095,	0.147095,	2.9419,	0.0980633,	0.2329,	0.82128,	1.13999,	0.171611,	0.281932,	0.330963,	1.05418,	0.723216,	0.257416,	0.0858053,	0.723216,	2.13288,	0.576122,	1.56901,	0.208384,	0.355479,	0.257416,	0.122579,	0.2329,	0.147095,	0.147095,	0.171611,	0.0980633,	0.134837,	0.576122,	0.0735474,	0.441285,	
HIPEpiC,	0.0369822,	40.4586,	2.08333,	1.22041,	2.1573,	0.160256,	0.172584,	0.419132,	0.110947,	0.184911,	0.604043,	0.961538,	0.283531,	0.135602,	1.5286,	0.209566,	1.19576,	0.813609,	0.468442,	0.345168,	0.788955,	0.468442,	0.172584,	0.271203,	0.147929,	0.604043,	0.838264,	0.246548,	0.0493097,	0.110947,	0.838264,	0.825937,	0.135602,	0.998521,	0.184911,	0.0739645,	0.936884,	0.394477,	0.850592,	0.579389,	1.51627,	0.271203,	0.160256,	1.2574,	0.147929,	0.0986193,	0.172584,	0.172584,	0.493097,	0.653353,	0.123274,	0.221893,	0.38215,	5.3501,	1.88609,	1.94773,	0.0369822,	0.172584,	0.0369822,	0.234221,	0.135602,	2.2929,	0.197239,	0.172584,	0.0369822,	0.751972,	0.0616371,	1.34369,	0.209566,	0.110947,	0.283531,	3.09418,	0.0246548,	0.246548,	1.1711,	1.08481,	0.271203,	0.0862919,	0.468442,	0.825937,	0.850592,	0.234221,	0.0246548,	0.443787,	1.97239,	0.801282,	1.77515,	0.209566,	0.542406,	0.221893,	0.0862919,	0.184911,	0.0986193,	0.0369822,	0.0739645,	0.0739645,	0.172584,	0.369823,	0.0862919,	0.468442,	
HMF,	0.0506971,	40.9632,	1.96451,	1.16603,	2.92776,	0.240811,	0.190114,	0.35488,	0.0760456,	0.139417,	0.583016,	1.14068,	0.468948,	0.190114,	1.25475,	0.215463,	1.14068,	0.887199,	0.367554,	0.342205,	1.02662,	0.608365,	0.139417,	0.240811,	0.0887199,	0.595691,	0.735108,	0.316857,	0.0760456,	0.126743,	0.709759,	0.925222,	0.17744,	1.01394,	0.228137,	0.0760456,	0.798479,	0.583016,	0.709759,	0.697085,	1.55894,	0.304182,	0.101394,	1.01394,	0.114068,	0.0126743,	0.0887199,	0.139417,	0.544994,	0.659062,	0.0760456,	0.253485,	0.240811,	5.34854,	1.63498,	1.78707,	0.152091,	0.240811,	0.0633714,	0.240811,	0.0760456,	2.01521,	0.342205,	0.26616,	0.0126743,	0.456274,	0.0126743,	1.29278,	0.329531,	0.114068,	0.240811,	2.99113,	0.0380228,	0.240811,	1.35615,	0.912547,	0.278834,	0.152091,	0.481622,	0.836502,	0.684411,	0.26616,	0.0760456,	0.342205,	1.81242,	0.849176,	2.02788,	0.164766,	0.557668,	0.190114,	0.0126743,	0.126743,	0.101394,	0.126743,	0.0633714,	0.0887199,	0.126743,	0.164766,	0.0380228,	0.621039,	
HMVEC-dBl-Ad,	0.0249969,	39.1826,	2.31221,	1.04987,	2.4372,	0.274966,	0.249969,	0.449944,	0.0874891,	0.199975,	0.499938,	0.824897,	0.387452,	0.16248,	1.26234,	0.23747,	1.37483,	0.874891,	0.574928,	0.462442,	1.01237,	0.449944,	0.0499937,	0.224972,	0.212473,	0.599925,	0.712411,	0.174978,	0.0749906,	0.0749906,	0.812398,	1.26234,	0.0499937,	1.01237,	0.199975,	0.137483,	0.912386,	0.499938,	0.774903,	0.649919,	1.6248,	0.262467,	0.137483,	1.08736,	0.0749906,	0.112486,	0.187477,	0.0999875,	0.674916,	0.687414,	0.212473,	0.212473,	0.149981,	6.13673,	1.44982,	1.76228,	0.0874891,	0.0874891,	0.0249969,	0.299962,	0.124984,	2.49969,	0.299962,	0.23747,	0.0124984,	0.662417,	0.0249969,	1.6123,	0.199975,	0.112486,	0.212473,	2.84964,	0.0374953,	0.374953,	1.12486,	1.38733,	0.362455,	0.224972,	0.374953,	0.937383,	0.96238,	0.212473,	0.124984,	0.412448,	1.74978,	0.674916,	1.66229,	0.174978,	0.624922,	0.0874891,	0.0374953,	0.124984,	0.0874891,	0.124984,	0.0999875,	0.0749906,	0.137483,	0.224972,	0.0249969,	0.499938,	
HPAF,	0.0249938,	41.0147,	2.09948,	1.22469,	2.63684,	0.274931,	0.19995,	0.299925,	0.124969,	0.124969,	0.537366,	1.17471,	0.3999,	0.187453,	1.27468,	0.274931,	1.16221,	0.874781,	0.474881,	0.324919,	0.874781,	0.499875,	0.149962,	0.337416,	0.124969,	0.59985,	0.674831,	0.224944,	0.099975,	0.0749812,	0.662334,	1.09973,	0.124969,	1.2122,	0.249938,	0.0624844,	0.924769,	0.474881,	0.549863,	0.637341,	1.42464,	0.312422,	0.149962,	1.13722,	0.0749812,	0.0374906,	0.124969,	0.137466,	0.549863,	0.537366,	0.124969,	0.212447,	0.237441,	5.22369,	1.47463,	2.08698,	0.0249938,	0.137466,	0.0749812,	0.274931,	0.112472,	2.11197,	0.337416,	0.262434,	0.0374906,	0.562359,	0.0499875,	1.28718,	0.274931,	0.124969,	0.224944,	3.24919,	0.0249938,	0.287428,	1.1872,	0.937266,	0.324919,	0.124969,	0.374906,	0.974756,	0.812297,	0.099975,	0.112472,	0.499875,	1.83704,	0.899775,	1.87453,	0.162459,	0.587353,	0.224944,	0.0249938,	0.124969,	0.112472,	0.0624844,	0.0874781,	0.0624844,	0.112472,	0.287428,	0,	0.412397,	
HPF,	0.0625391,	40.4628,	1.87617,	1.17573,	2.62664,	0.175109,	0.237649,	0.387742,	0.11257,	0.137586,	0.350219,	0.938086,	0.475297,	0.225141,	1.21326,	0.300188,	1.22577,	0.863039,	0.487805,	0.325203,	0.750469,	0.512821,	0.0875547,	0.325203,	0.0500313,	0.487805,	1.02564,	0.212633,	0.162602,	0.0625391,	0.712946,	0.913071,	0.11257,	1.07567,	0.28768,	0.0375235,	1.10069,	0.437774,	0.57536,	0.612883,	1.56348,	0.300188,	0.0625391,	1.42589,	0.187617,	0.0875547,	0.150094,	0.0750469,	0.462789,	0.625391,	0.100063,	0.225141,	0.325203,	5.50344,	1.65103,	1.9262,	0.150094,	0.175109,	0.0250156,	0.300188,	0.187617,	2.30144,	0.275172,	0.487805,	0.0625391,	0.600375,	0.0750469,	1.80113,	0.250156,	0.11257,	0.300188,	3.13946,	0.0250156,	0.325203,	1.08818,	0.938086,	0.200125,	0.0750469,	0.362727,	0.612883,	1.03815,	0.300188,	0.0500313,	0.57536,	1.81363,	0.725453,	1.62602,	0.150094,	0.500313,	0.150094,	0.0750469,	0.137586,	0.0375235,	0.0750469,	0.212633,	0.137586,	0.100063,	0.162602,	0,	0.387742,	
HPdLF,	0.0640615,	39.1031,	1.93466,	1.44779,	2.51121,	0.0768738,	0.153748,	0.538117,	0.16656,	0.0640615,	0.563741,	1.31967,	0.371557,	0.217809,	1.28123,	0.33312,	0.986547,	0.884049,	0.474055,	0.294683,	0.871236,	0.730301,	0.0384369,	0.474055,	0.0896861,	0.640615,	0.896861,	0.16656,	0.102498,	0.102498,	0.563741,	0.845612,	0.16656,	1.15311,	0.371557,	0.102498,	0.807175,	0.474055,	0.66624,	0.525304,	1.53748,	0.422806,	0.153748,	0.896861,	0.115311,	0.0896861,	0.102498,	0.153748,	0.538117,	0.717489,	0.140935,	0.243434,	0.371557,	4.6893,	1.72966,	1.5631,	0.153748,	0.217809,	0.0384369,	0.307495,	0.128123,	2.21653,	0.384369,	0.217809,	0.0128123,	0.550929,	0.0512492,	1.58873,	0.320307,	0.115311,	0.320307,	2.97245,	0.0384369,	0.307495,	1.51185,	1.05061,	0.217809,	0.153748,	0.717489,	0.832799,	0.909673,	0.281871,	0.102498,	0.345932,	2.1909,	0.935298,	1.84497,	0.128123,	0.538117,	0.179372,	0.0384369,	0.179372,	0.115311,	0.140935,	0.230621,	0.140935,	0.0896861,	0.281871,	0.0640615,	0.794363,	
HepG2,	0.074785,	46.0426,	2.35573,	1.20902,	1.52063,	0.361461,	0.224355,	0.635672,	0.0872492,	0.124642,	0.236819,	1.8073,	0.610744,	0.236819,	2.30587,	0.199427,	1.0096,	0.224355,	0.411317,	0.14957,	0.959741,	0.336532,	0.14957,	0.236819,	0.0623208,	0.59828,	0.573352,	0.137106,	0.074785,	0.0623208,	1.04699,	0.984669,	0.236819,	1.20902,	0.186962,	0.137106,	0.997133,	0.735386,	0.486102,	0.29914,	1.81977,	0.361461,	0.137106,	0.461174,	0.137106,	0.199427,	0.0872492,	0.112177,	0.336532,	0.560887,	0.0623208,	0.174498,	0.186962,	4.12564,	1.65773,	1.65773,	0.124642,	0.186962,	0.0498567,	0.336532,	0.0872492,	1.07192,	0.361461,	0.560887,	0.0498567,	0.361461,	0.0249283,	0.89742,	0.411317,	0.0997133,	0.29914,	1.70759,	0.0124642,	0.199427,	1.02206,	1.47077,	0.29914,	0.0872492,	0.498567,	0.324068,	0.685529,	0.112177,	0.0373925,	0.984669,	1.86962,	0.697993,	1.72005,	0.0498567,	0.423782,	0.186962,	0.0498567,	0.0872492,	0.0249283,	0.074785,	0.0997133,	0.174498,	0.124642,	0.137106,	0.124642,	0.373925,	
NHDF-neo,	0.0371425,	42.132,	2.01808,	1.25046,	1.96855,	0.160951,	0.14857,	0.321902,	0.136189,	0.111428,	0.482853,	1.03999,	0.420948,	0.0866658,	1.36189,	0.173332,	1.10189,	0.767612,	0.581899,	0.346663,	0.866658,	0.532376,	0.0495233,	0.235236,	0.074285,	0.532376,	0.841897,	0.259998,	0.0619042,	0.0990467,	0.755231,	0.817135,	0.111428,	1.20094,	0.247617,	0.0123808,	0.730469,	0.346663,	0.903801,	0.44571,	1.31237,	0.272378,	0.111428,	1.26285,	0.160951,	0.136189,	0.160951,	0.0990467,	0.532376,	0.730469,	0.0990467,	0.272378,	0.259998,	5.44757,	1.58475,	1.64665,	0.0619042,	0.185713,	0.0371425,	0.259998,	0.0495233,	2.69902,	0.235236,	0.346663,	0.0123808,	0.495233,	0.0866658,	1.78284,	0.14857,	0.0619042,	0.14857,	2.99616,	0.0866658,	0.259998,	1.07713,	1.05237,	0.198093,	0.136189,	0.371425,	0.866658,	0.866658,	0.259998,	0.0866658,	0.557138,	2.04284,	0.730469,	1.58475,	0.173332,	0.507614,	0.210474,	0.0123808,	0.173332,	0.111428,	0.0866658,	0.136189,	0.111428,	0.0866658,	0.259998,	0.0123808,	0.470472,	
