cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
HCM,	0.113336,	39.6675,	0.868908,	2.34227,	0.566679,	0.188893,	0.151114,	0.83113,	0.226672,	0.415565,	0.415565,	0.906687,	0.340008,	0.566679,	1.02002,	0.566679,	0.868908,	0.26445,	0.226672,	0.188893,	0.906687,	0.604458,	0.340008,	0.793351,	0.226672,	0.415565,	0.604458,	0.0755572,	0.113336,	0.226672,	0.415565,	1.02002,	0.188893,	1.20892,	0.453343,	0.0377786,	0.83113,	0.528901,	0.302229,	0.566679,	2.90895,	0.717794,	0.151114,	1.85115,	0.453343,	0.26445,	0.113336,	0.188893,	0.566679,	1.24669,	0.188893,	0.453343,	0.340008,	2.60672,	2.87117,	1.02002,	0.151114,	0.26445,	0.226672,	0.188893,	0.26445,	0.680015,	0.415565,	0.226672,	0.113336,	0.453343,	0.113336,	1.47337,	0.453343,	0.0377786,	0.377786,	2.6445,	0.566679,	0.226672,	1.51114,	0.377786,	0.415565,	0.0377786,	0.340008,	0.453343,	1.0578,	0.226672,	0,	0.340008,	2.60672,	0.528901,	2.22894,	0.0755572,	0.415565,	1.28447,	0.0755572,	0.302229,	0.528901,	0.226672,	0.0755572,	0.226672,	0.226672,	0.717794,	0.0377786,	0.26445,	
HCPEpiC,	0.0770416,	32.7427,	1.46379,	2.27273,	0.924499,	0.231125,	0.231125,	1.30971,	0.231125,	0.385208,	0.577812,	1.04006,	0.808937,	0.616333,	1.38675,	0.385208,	1.30971,	0.269646,	0.231125,	0.192604,	0.46225,	0.50077,	0.192604,	0.731895,	0.346687,	0.423729,	1.1171,	0.115562,	0.269646,	0.0385208,	0.731895,	0.96302,	0.269646,	1.42527,	0.423729,	0,	1.27119,	0.616333,	0.731895,	0.654854,	3.08166,	0.96302,	0.308166,	1.77196,	0.308166,	0.269646,	0.308166,	0.115562,	0.50077,	1.1171,	0.192604,	0.192604,	0.385208,	2.58089,	2.46533,	1.27119,	0.346687,	0.192604,	0.115562,	0.423729,	0.50077,	0.96302,	0.539291,	0.192604,	0.192604,	0.46225,	0.115562,	1.34823,	0.231125,	0,	0.269646,	2.54237,	0.154083,	0.616333,	2.15716,	0.308166,	0.50077,	0.192604,	0.847458,	0.731895,	1.69492,	0.50077,	0.0385208,	0.231125,	2.81202,	0.616333,	1.81048,	0.0385208,	0.385208,	0.885978,	0.0770416,	0.192604,	0.693374,	0.115562,	0.115562,	0.231125,	0.346687,	0.654854,	0.154083,	0.654854,	
HEEpiC,	0.0750188,	34.8462,	1.38785,	2.58815,	0.712678,	0.150038,	0.262566,	0.937734,	0.262566,	0.450113,	0.300075,	0.937734,	0.300075,	0.562641,	1.05026,	0.675169,	1.12528,	0.300075,	0.300075,	0.375094,	0.825206,	0.787697,	0.150038,	0.825206,	0.262566,	0.337584,	0.975244,	0.300075,	0.562641,	0.225056,	0.300075,	0.900225,	0.187547,	1.12528,	0.787697,	0.0375094,	1.50038,	0.412603,	0.337584,	0.675169,	3.11328,	0.637659,	0.300075,	1.38785,	0.187547,	0.525131,	0.150038,	0.150038,	0.562641,	1.23781,	0.150038,	0.525131,	0.60015,	2.32558,	3.00075,	1.23781,	0.225056,	0.225056,	0.150038,	0.375094,	0.375094,	0.787697,	0.525131,	0.225056,	0,	0.450113,	0.0750188,	1.50038,	0.562641,	0.0750188,	0.375094,	2.88822,	0.450113,	0.375094,	1.988,	0.225056,	0.60015,	0.0375094,	0.862716,	0.750188,	0.975244,	0.262566,	0.112528,	0.225056,	2.25056,	0.825206,	1.988,	0.150038,	0.487622,	1.08777,	0.0375094,	0.187547,	0.60015,	0.0375094,	0.225056,	0.0750188,	0.225056,	0.375094,	0.0750188,	0.487622,	
HFF,	0.0373134,	31.2313,	1.23134,	2.16418,	1.15672,	0.149254,	0.485075,	0.858209,	0.447761,	0.298507,	0.186567,	0.820896,	0.335821,	0.335821,	1.64179,	0.447761,	1.19403,	0.186567,	0.149254,	0.186567,	1.00746,	1.04478,	0.223881,	0.970149,	0.485075,	0.559702,	0.932836,	0.298507,	0.373134,	0.149254,	0.597015,	1.04478,	0.261194,	0.708955,	0.746269,	0.0373134,	1.00746,	0.522388,	0.447761,	0.634328,	2.79851,	1.30597,	0.298507,	1.52985,	0.410448,	0.410448,	0.373134,	0.261194,	0.820896,	1.60448,	0.522388,	0.447761,	1.00746,	2.91045,	2.16418,	0.783582,	0.335821,	0.186567,	0.149254,	0.634328,	0.261194,	0.970149,	0.447761,	0.261194,	0.186567,	0.522388,	0.0746269,	0.895522,	0.373134,	0.0373134,	0.223881,	2.5,	0.447761,	0.373134,	2.12687,	0.373134,	0.485075,	0.261194,	0.597015,	0.820896,	0.932836,	0.335821,	0.11194,	0.634328,	2.94776,	0.671642,	2.27612,	0.0746269,	0.559702,	1.23134,	0.149254,	0.373134,	0.932836,	0.0373134,	0.261194,	0.11194,	0.298507,	0.783582,	0.11194,	0.373134,	
HIPEpiC,	0.226074,	34.0618,	1.09269,	2.75057,	0.866616,	0.339111,	0.150716,	0.979653,	0.339111,	0.602864,	0.489827,	0.941974,	0.489827,	0.678222,	0.979653,	0.414469,	1.4318,	0.452148,	0.226074,	0.339111,	0.565185,	0.452148,	0.188395,	0.979653,	0.301432,	0.301432,	0.753579,	0.226074,	0.037679,	0.301432,	0.678222,	0.678222,	0.226074,	1.28109,	0.565185,	0.075358,	1.24341,	0.489827,	0.489827,	0.828937,	1.92163,	0.979653,	0.226074,	1.6202,	0.414469,	0.188395,	0.339111,	0.075358,	0.527506,	1.58252,	0.263753,	0.339111,	0.489827,	2.93896,	2.59985,	1.05501,	0.263753,	0.339111,	0.188395,	0.301432,	0.226074,	0.715901,	0.37679,	0.339111,	0.150716,	0.489827,	0.037679,	2.26074,	0.301432,	0,	0.527506,	3.052,	0.301432,	0.37679,	1.54484,	0.678222,	0.602864,	0.075358,	0.565185,	0.715901,	0.828937,	0.37679,	0.037679,	0.37679,	2.82592,	0.678222,	2.26074,	0.113037,	0.753579,	0.828937,	0.075358,	0.188395,	0.489827,	0.075358,	0.188395,	0.075358,	0.226074,	0.452148,	0.113037,	0.527506,	
HMF,	0.231125,	35.5932,	1.34823,	2.38829,	0.770416,	0.269646,	0.269646,	1.04006,	0.269646,	0.269646,	0.693374,	0.693374,	0.50077,	0.539291,	1.65639,	0.616333,	1.65639,	0.115562,	0.231125,	0.192604,	0.924499,	0.539291,	0.308166,	0.654854,	0.308166,	0.346687,	0.924499,	0.192604,	0.50077,	0.385208,	0.231125,	1.15562,	0.231125,	1.15562,	0.423729,	0,	1.15562,	0.808937,	0.269646,	0.770416,	2.27273,	0.731895,	0.192604,	1.30971,	0.269646,	0.423729,	0.0770416,	0.231125,	0.770416,	1.00154,	0.231125,	0.50077,	0.46225,	2.73498,	1.96456,	0.847458,	0.269646,	0.346687,	0.0385208,	0.308166,	0.308166,	0.731895,	0.770416,	0.154083,	0,	0.539291,	0,	1.81048,	0.346687,	0.115562,	0.616333,	2.65794,	0.0385208,	0.269646,	2.0416,	0.346687,	0.50077,	0.154083,	0.808937,	0.616333,	1.34823,	0.654854,	0.0770416,	0.231125,	3.38983,	0.539291,	2.19569,	0,	0.539291,	0.808937,	0.115562,	0.154083,	0.385208,	0.192604,	0.0385208,	0.115562,	0.0770416,	0.231125,	0.0385208,	0.423729,	
HMVEC-dBl-Ad,	0.0781861,	32.2127,	1.52463,	2.11102,	1.01642,	0.351837,	0.156372,	1.25098,	0.39093,	0.39093,	0.742768,	1.05551,	0.664582,	0.781861,	1.09461,	0.820954,	1.32916,	0.312744,	0.156372,	0.234558,	0.860047,	0.781861,	0.117279,	0.664582,	0.351837,	0.234558,	0.860047,	0.234558,	0.273651,	0.312744,	0.50821,	1.1337,	0.117279,	1.40735,	0.469117,	0.0781861,	1.48554,	0.664582,	0.50821,	0.860047,	2.2674,	0.820954,	0.273651,	1.17279,	0.156372,	0.351837,	0.234558,	0.273651,	0.977326,	0.977326,	0.156372,	0.156372,	0.430023,	2.77561,	1.60281,	1.21188,	0.195465,	0.273651,	0.195465,	0.312744,	0.273651,	0.742768,	0.273651,	0.156372,	0,	0.742768,	0.0781861,	2.30649,	0.547303,	0.234558,	0.430023,	2.97107,	0.195465,	0.469117,	1.79828,	0.469117,	0.742768,	0.0781861,	1.21188,	0.547303,	1.40735,	0.39093,	0.039093,	0.430023,	2.69742,	0.820954,	1.99375,	0.117279,	0.625489,	0.89914,	0,	0.273651,	0.469117,	0.312744,	0.195465,	0.273651,	0.273651,	0.39093,	0.156372,	0.547303,	
HPAF,	0.0763942,	38.6937,	1.64248,	2.44461,	1.03132,	0.114591,	0.114591,	0.840336,	0.26738,	0.343774,	0.458365,	0.993124,	0.534759,	0.458365,	1.10772,	0.496562,	1.10772,	0.496562,	0.0381971,	0.305577,	0.725745,	0.572956,	0.114591,	0.687548,	0.305577,	0.496562,	0.802139,	0.458365,	0.26738,	0.26738,	0.26738,	0.993124,	0.190985,	0.91673,	0.496562,	0.114591,	1.06952,	0.534759,	0.381971,	0.611154,	2.25363,	0.725745,	0.229183,	1.48969,	0.190985,	0.305577,	0.190985,	0.190985,	0.534759,	0.763942,	0.0763942,	0.26738,	0.305577,	3.47594,	1.90985,	0.763942,	0.152788,	0.305577,	0.0763942,	0.229183,	0.305577,	0.725745,	0.649351,	0.229183,	0.0381971,	0.687548,	0.0763942,	2.13904,	0.381971,	0.114591,	0.534759,	2.78839,	0.114591,	0.26738,	1.90985,	0.381971,	0.534759,	0.114591,	0.840336,	0.649351,	0.763942,	0.190985,	0,	0.572956,	2.06264,	0.725745,	2.21543,	0.26738,	0.763942,	0.496562,	0.0763942,	0.114591,	0.305577,	0.0381971,	0.305577,	0.0381971,	0.190985,	0.420168,	0.152788,	0.534759,	
HPF,	0.115385,	32.9231,	2.11538,	2.03846,	1.03846,	0.384615,	0.153846,	1.15385,	0.269231,	0.346154,	0.653846,	0.923077,	0.576923,	0.5,	1.19231,	0.692308,	1.26923,	0.269231,	0.346154,	0.346154,	0.884615,	0.961538,	0.269231,	1.03846,	0.307692,	0.269231,	0.769231,	0.269231,	0.538462,	0.346154,	0.461538,	0.653846,	0.153846,	1.38462,	0.346154,	0,	1.26923,	0.730769,	0.538462,	1.11538,	2.34615,	0.769231,	0.230769,	1.53846,	0.230769,	0.269231,	0.115385,	0.230769,	0.769231,	0.576923,	0.346154,	0.269231,	0.461538,	2.76923,	1.92308,	1.15385,	0.307692,	0.153846,	0.192308,	0.423077,	0.346154,	1.38462,	0.653846,	0.269231,	0.0384615,	0.5,	0.115385,	1.57692,	0.384615,	0.115385,	0.461538,	3.15385,	0.192308,	0.5,	1.69231,	0.423077,	0.653846,	0.153846,	0.730769,	0.5,	0.961538,	0.269231,	0.0384615,	0.307692,	2.73077,	0.961538,	2.23077,	0.192308,	0.423077,	0.615385,	0.0384615,	0.230769,	0.576923,	0.115385,	0.192308,	0.192308,	0.230769,	0.5,	0.115385,	0.538462,	
HPdLF,	0.198649,	30.8701,	2.06595,	2.14541,	1.35081,	0.595948,	0.158919,	0.834327,	0.516488,	0.357569,	0.556218,	1.15217,	0.635677,	0.476758,	1.43027,	0.834327,	1.70838,	0.198649,	0.238379,	0.715137,	0.953516,	0.635677,	0.238379,	0.794597,	0.11919,	0.397298,	1.23162,	0.595948,	0.556218,	0.158919,	0.635677,	1.03298,	0.357569,	1.1919,	0.675407,	0.0397298,	0.993246,	0.953516,	0.556218,	1.03298,	1.58919,	0.556218,	0.278109,	1.62892,	0.278109,	0.158919,	0.0794597,	0.238379,	0.715137,	0.913786,	0.278109,	0.397298,	0.595948,	3.25785,	1.74811,	0.715137,	0.278109,	0.516488,	0.0794597,	0.437028,	0.238379,	0.993246,	0.715137,	0.397298,	0.0794597,	0.476758,	0.11919,	1.62892,	0.556218,	0.158919,	0.516488,	2.74136,	0.238379,	0.437028,	1.58919,	0.278109,	0.675407,	0.278109,	0.913786,	0.635677,	0.953516,	0.556218,	0.11919,	0.595948,	1.62892,	1.23162,	2.30433,	0,	0.437028,	0.556218,	0.0397298,	0.437028,	0.516488,	0.278109,	0.11919,	0.0794597,	0.11919,	0.357569,	0.238379,	0.834327,	
HepG2,	0.159681,	32.8144,	3.03393,	1.91617,	1.83633,	0.439122,	0.479042,	0.958084,	0.359281,	0.239521,	0.159681,	0.758483,	0.918164,	0.558882,	0.558882,	0.399202,	0.399202,	0.319361,	0.798403,	0.518962,	1.03792,	0.239521,	0.758483,	1.07784,	0.199601,	1.1976,	0.518962,	0.439122,	0.0399202,	0.159681,	0.279441,	1.1976,	0.399202,	1.15768,	0.558882,	0.159681,	0.319361,	1.67665,	0.638723,	0.479042,	1.35729,	1.11776,	0.11976,	0.439122,	0.319361,	0.0798403,	0.758483,	0.239521,	0.638723,	1.47705,	0.399202,	0.199601,	0.558882,	3.39321,	3.87226,	1.51697,	0.0798403,	0.279441,	0.0399202,	0.678643,	0.718563,	0.638723,	0.838323,	0.518962,	0.0798403,	0.838323,	0,	0.998004,	0.758483,	0.11976,	0.11976,	1.75649,	0.399202,	0.359281,	1.59681,	0.998004,	1.27745,	0.199601,	1.03792,	0.878244,	1.1976,	0.239521,	0,	0.319361,	0.838323,	0.998004,	1.1976,	0,	0.798403,	0.11976,	0.159681,	0.0798403,	0.279441,	0.199601,	0.319361,	0.0399202,	0.0798403,	0.0798403,	0.279441,	0.918164,	
NHDF-neo,	0.0757863,	35.3164,	1.13679,	2.27359,	0.757863,	0.0378931,	0.265252,	1.13679,	0.416825,	0.378931,	0.341038,	1.06101,	0.378931,	0.71997,	1.06101,	0.454718,	1.17469,	0.416825,	0.151573,	0.378931,	0.947329,	0.682077,	0.227359,	0.909435,	0.303145,	0.265252,	0.909435,	0.416825,	0.227359,	0.265252,	0.341038,	1.06101,	0.0378931,	1.17469,	0.492611,	0.0757863,	1.51573,	0.795756,	0.568397,	0.682077,	2.27359,	0.568397,	0.416825,	1.78098,	0.378931,	0.265252,	0.303145,	0.189466,	0.341038,	0.871542,	0.227359,	0.151573,	0.416825,	3.25881,	1.97044,	1.06101,	0.303145,	0.303145,	0.189466,	0.378931,	0.265252,	1.21258,	0.341038,	0.265252,	0.113679,	0.644183,	0.0757863,	1.62941,	0.227359,	0.151573,	0.341038,	3.56196,	0.341038,	0.265252,	1.59151,	0.227359,	0.416825,	0.151573,	0.530504,	0.568397,	1.32626,	0.454718,	0.0378931,	0.530504,	2.87988,	0.682077,	1.97044,	0.113679,	0.530504,	0.871542,	0.0757863,	0.227359,	0.454718,	0.0757863,	0.0757863,	0.0757863,	0.113679,	0.682077,	0.0378931,	0.378931,	
